,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,annual_salary,economic_impact
20,24,No,Non-Travel,673,Research & Development,11,Associate Degree,Other,26,Low,Female,96,Very High,Intermediate,Manufacturing Director,High,Divorced,4011,8232,0,No,18,Satisfactory,Very High,1,5,5,Medium,4,2,1,3,48132,9482.004
21,36,Yes,Travel_Rarely,1218,Sales,9,Master’s Degree,Life Sciences,27,High,Male,82,Medium,Entry-level,Sales Representative,Low,Single,3407,6986,7,No,23,Exceptional,Medium,0,10,4,High,5,3,0,3,40884,8054.148
22,34,No,Travel_Rarely,419,Research & Development,7,Master’s Degree,Life Sciences,28,Low,Female,53,High,Supervisory,Research Director,Medium,Single,11994,21293,0,No,11,Satisfactory,High,0,13,4,High,12,6,2,11,143928,30224.879999999997
23,21,No,Travel_Rarely,391,Research & Development,15,Associate Degree,Life Sciences,30,High,Male,96,High,Entry-level,Research Scientist,Very High,Single,1232,19281,1,No,14,Satisfactory,Very High,0,0,6,High,0,0,0,0,14784,2380.224
24,34,Yes,Travel_Rarely,699,Research & Development,6,High School,Medical,31,Medium,Male,83,High,Entry-level,Research Scientist,Low,Single,2960,17102,2,No,11,Satisfactory,High,0,8,2,High,4,2,1,3,35520,6997.4400000000005
25,53,No,Travel_Rarely,1282,Research & Development,5,Bachelor’s Degree,Other,32,High,Female,58,High,Executive,Manager,High,Divorced,19094,10735,4,No,11,Satisfactory,Very High,1,26,3,Medium,14,13,4,8,229128,48116.88
26,32,Yes,Travel_Frequently,1125,Research & Development,16,High School,Life Sciences,33,Medium,Female,72,Low,Entry-level,Research Scientist,Low,Single,3919,4681,1,Yes,22,Exceptional,Medium,0,10,5,High,10,2,6,7,47028,9264.516
27,42,No,Travel_Rarely,691,Sales,8,Master’s Degree,Marketing,35,High,Male,48,High,Intermediate,Sales Executive,Medium,Married,6825,21173,0,No,11,Satisfactory,Very High,1,10,2,High,9,7,4,2,81900,17199.0
28,44,No,Travel_Rarely,477,Research & Development,7,Master’s Degree,Medical,36,Low,Female,42,Medium,Supervisory,Healthcare Representative,Very High,Married,10248,2094,3,No,14,Satisfactory,Very High,1,24,4,High,22,6,5,17,122976,25824.96
29,46,No,Travel_Rarely,705,Sales,2,Master’s Degree,Marketing,38,Medium,Female,83,High,Executive,Manager,Low,Single,18947,22822,3,No,12,Satisfactory,Very High,0,22,2,Medium,2,2,2,1,227364,47746.439999999995
30,33,No,Travel_Rarely,924,Research & Development,2,Bachelor’s Degree,Medical,39,High,Male,78,High,Entry-level,Laboratory Technician,Very High,Single,2496,6670,4,No,11,Satisfactory,Very High,0,7,3,High,1,1,0,0,29952,4822.272
31,44,No,Travel_Rarely,1459,Research & Development,10,Master’s Degree,Other,40,Very High,Male,41,High,Intermediate,Healthcare Representative,Very High,Married,6465,19121,2,Yes,13,Satisfactory,Very High,0,9,5,Very High,4,2,1,3,77580,16291.8
32,30,No,Travel_Rarely,125,Research & Development,9,Associate Degree,Medical,41,Very High,Male,83,Medium,Entry-level,Laboratory Technician,High,Single,2206,16117,1,No,13,Satisfactory,Low,0,10,5,High,10,0,1,8,26472,4261.992
33,39,Yes,Travel_Rarely,895,Sales,5,Bachelor’s Degree,Technical Degree,42,Very High,Male,56,High,Intermediate,Sales Representative,Very High,Married,2086,3335,3,No,14,Satisfactory,High,1,19,6,Very High,1,0,0,0,25032,4030.152
34,24,Yes,Travel_Rarely,813,Research & Development,1,Bachelor’s Degree,Medical,45,Medium,Male,61,High,Entry-level,Research Scientist,Very High,Married,2293,3020,2,Yes,16,Satisfactory,Low,1,6,2,Medium,2,0,2,0,27516,4430.076
35,43,No,Travel_Rarely,1273,Research & Development,2,Associate Degree,Medical,46,Very High,Female,72,Very High,Entry-level,Research Scientist,High,Divorced,2645,21923,1,No,12,Satisfactory,Very High,2,6,3,Medium,5,3,1,4,31740,6252.780000000001
36,50,Yes,Travel_Rarely,869,Sales,3,Associate Degree,Marketing,47,Low,Male,86,Medium,Entry-level,Sales Representative,High,Married,2683,3810,1,Yes,14,Satisfactory,High,0,3,2,High,3,2,0,2,32196,6342.612
37,35,No,Travel_Rarely,890,Sales,2,Bachelor’s Degree,Marketing,49,Very High,Female,97,High,Entry-level,Sales Representative,Very High,Married,2014,9687,1,No,13,Satisfactory,Low,0,2,3,High,2,2,2,2,24168,3891.0480000000002
38,36,No,Travel_Rarely,852,Research & Development,5,Master’s Degree,Life Sciences,51,Medium,Female,82,Medium,Entry-level,Research Scientist,Low,Married,3419,13072,9,Yes,14,Satisfactory,Very High,1,6,3,Very High,1,1,0,0,41028,8082.5160000000005
39,33,No,Travel_Frequently,1141,Sales,1,Bachelor’s Degree,Life Sciences,52,High,Female,42,Very High,Intermediate,Sales Executive,Low,Married,5376,3193,2,No,19,Satisfactory,Low,2,10,3,High,5,3,1,3,64512,13160.447999999999
40,35,No,Travel_Rarely,464,Research & Development,4,Associate Degree,Other,53,High,Male,75,High,Entry-level,Laboratory Technician,Very High,Divorced,1951,10910,1,No,12,Satisfactory,High,1,1,3,High,1,0,0,0,23412,3769.332
41,27,No,Travel_Rarely,1240,Research & Development,2,Master’s Degree,Life Sciences,54,Very High,Female,33,High,Entry-level,Laboratory Technician,Low,Divorced,2341,19715,1,No,13,Satisfactory,Very High,1,1,6,High,1,0,0,0,28092,4522.812
42,26,Yes,Travel_Rarely,1357,Research & Development,25,Bachelor’s Degree,Life Sciences,55,Low,Male,48,Low,Entry-level,Laboratory Technician,High,Single,2293,10558,1,No,12,Satisfactory,High,0,1,2,Medium,1,0,0,1,27516,4430.076
43,27,No,Travel_Frequently,994,Sales,8,Bachelor’s Degree,Life Sciences,56,Very High,Male,37,High,Supervisory,Sales Executive,High,Single,8726,2975,1,No,15,Satisfactory,Very High,0,9,0,High,9,8,1,7,104712,21989.52
44,30,No,Travel_Frequently,721,Research & Development,1,Associate Degree,Medical,57,High,Female,58,High,Intermediate,Laboratory Technician,Very High,Single,4011,10781,1,No,23,Exceptional,Very High,0,12,2,High,12,8,3,7,48132,9482.004
45,41,Yes,Travel_Rarely,1360,Research & Development,12,Bachelor’s Degree,Technical Degree,58,Medium,Female,49,High,Executive,Research Director,High,Married,19545,16280,1,No,12,Satisfactory,Very High,0,23,0,High,22,15,15,8,234540,49253.4
46,34,No,Non-Travel,1065,Sales,23,Master’s Degree,Marketing,60,Medium,Male,72,High,Intermediate,Sales Executive,High,Single,4568,10034,0,No,20,Exceptional,High,0,10,2,High,9,5,8,7,54816,11182.464
47,37,No,Travel_Rarely,408,Research & Development,19,Associate Degree,Life Sciences,61,Medium,Male,73,High,Entry-level,Research Scientist,Medium,Married,3022,10227,4,No,21,Exceptional,Low,0,8,1,High,1,0,0,0,36264,7144.008000000001
48,46,No,Travel_Frequently,1211,Sales,5,Master’s Degree,Marketing,62,Low,Male,98,High,Intermediate,Sales Executive,Very High,Single,5772,20445,4,Yes,21,Exceptional,High,0,14,4,High,9,6,0,8,69264,14129.856
49,35,No,Travel_Rarely,1229,Research & Development,8,High School,Life Sciences,63,Very High,Male,36,Very High,Entry-level,Laboratory Technician,Very High,Married,2269,4892,1,No,19,Satisfactory,Very High,0,1,2,High,1,0,0,1,27228,4383.7080000000005
50,48,Yes,Travel_Rarely,626,Research & Development,1,Associate Degree,Life Sciences,64,Low,Male,98,Medium,Supervisory,Laboratory Technician,High,Single,5381,19294,9,Yes,13,Satisfactory,Very High,0,23,2,High,1,0,0,0,64572,13172.687999999998
51,28,Yes,Travel_Rarely,1434,Research & Development,5,Master’s Degree,Technical Degree,65,High,Male,50,High,Entry-level,Laboratory Technician,High,Single,3441,11179,1,Yes,13,Satisfactory,High,0,2,3,Medium,2,2,2,2,41292,8134.524
52,44,No,Travel_Rarely,1488,Sales,1,Doctorate,Marketing,68,Medium,Female,75,High,Intermediate,Sales Executive,Low,Divorced,5454,4009,5,Yes,21,Exceptional,High,1,9,2,Medium,4,3,1,3,65448,13351.392
53,35,No,Non-Travel,1097,Research & Development,11,Associate Degree,Medical,70,High,Male,79,Medium,Supervisory,Healthcare Representative,Low,Married,9884,8302,2,Yes,13,Satisfactory,High,1,10,3,High,4,0,2,3,118608,24907.68
54,26,No,Travel_Rarely,1443,Sales,23,Bachelor’s Degree,Marketing,72,High,Female,47,Medium,Intermediate,Sales Executive,Very High,Married,4157,21436,7,Yes,19,Satisfactory,High,1,5,2,Medium,2,2,0,0,49884,9827.148000000001
55,33,No,Travel_Frequently,515,Research & Development,1,Associate Degree,Life Sciences,73,Low,Female,98,High,Supervisory,Research Director,Very High,Single,13458,15146,1,Yes,12,Satisfactory,High,0,15,1,High,15,14,8,12,161496,33914.159999999996
56,35,No,Travel_Frequently,853,Sales,18,Doctorate,Life Sciences,74,Medium,Male,71,High,Supervisory,Sales Executive,Low,Married,9069,11031,1,No,22,Exceptional,Very High,1,9,3,Medium,9,8,1,8,108828,22853.879999999997
57,35,No,Travel_Rarely,1142,Research & Development,23,Master’s Degree,Medical,75,High,Female,30,High,Entry-level,Laboratory Technician,Low,Married,4014,16002,3,Yes,15,Satisfactory,High,1,4,3,High,2,2,2,2,48168,9489.096
58,31,No,Travel_Rarely,655,Research & Development,7,Master’s Degree,Life Sciences,76,Very High,Male,48,High,Intermediate,Laboratory Technician,Very High,Divorced,5915,9528,3,No,22,Exceptional,Very High,1,10,3,Medium,7,7,1,7,70980,14479.919999999998
59,37,No,Travel_Rarely,1115,Research & Development,1,Master’s Degree,Life Sciences,77,Low,Male,51,Medium,Intermediate,Manufacturing Director,High,Divorced,5993,2689,1,No,18,Satisfactory,High,1,7,2,Very High,7,5,0,7,71916,14670.864
60,32,No,Travel_Rarely,427,Research & Development,1,Bachelor’s Degree,Medical,78,Low,Male,33,High,Intermediate,Manufacturing Director,Very High,Married,6162,10877,1,Yes,22,Exceptional,Medium,1,9,3,High,9,8,7,8,73944,15084.576
61,38,No,Travel_Frequently,653,Research & Development,29,Doctorate,Life Sciences,79,Very High,Female,50,High,Intermediate,Laboratory Technician,Very High,Single,2406,5456,1,No,11,Satisfactory,Very High,0,10,2,High,10,3,9,9,28872,4648.392
62,50,No,Travel_Rarely,989,Research & Development,7,Associate Degree,Medical,80,Medium,Female,43,Medium,Executive,Research Director,High,Divorced,18740,16701,5,Yes,12,Satisfactory,Very High,1,29,2,Medium,27,3,13,8,224880,47224.799999999996
63,59,No,Travel_Rarely,1435,Sales,25,Bachelor’s Degree,Life Sciences,81,Low,Female,99,High,Supervisory,Sales Executive,Low,Single,7637,2354,7,No,11,Satisfactory,Very High,0,28,3,Medium,21,16,7,9,91644,19245.239999999998
64,36,No,Travel_Rarely,1223,Research & Development,8,Bachelor’s Degree,Technical Degree,83,High,Female,59,High,Supervisory,Healthcare Representative,High,Divorced,10096,8202,1,No,13,Satisfactory,Medium,3,17,2,High,17,14,12,8,121152,25441.92
65,55,No,Travel_Rarely,836,Research & Development,8,Bachelor’s Degree,Medical,84,Very High,Female,33,High,Managerial,Manager,High,Divorced,14756,19730,2,Yes,14,Satisfactory,High,3,21,2,High,5,0,0,2,177072,37185.119999999995
66,36,No,Travel_Frequently,1195,Research & Development,11,Bachelor’s Degree,Life Sciences,85,Medium,Male,95,Medium,Intermediate,Manufacturing Director,Medium,Single,6499,22656,1,No,13,Satisfactory,High,0,6,3,High,6,5,0,3,77988,16377.48
67,45,No,Travel_Rarely,1339,Research & Development,7,Bachelor’s Degree,Life Sciences,86,Medium,Male,59,High,Supervisory,Research Scientist,Low,Divorced,9724,18787,2,No,17,Satisfactory,High,1,25,2,High,1,0,0,0,116688,24504.48
68,35,No,Travel_Frequently,664,Research & Development,1,Bachelor’s Degree,Medical,88,Medium,Male,79,High,Entry-level,Research Scientist,Low,Married,2194,5868,4,No,13,Satisfactory,Very High,1,5,2,Medium,3,2,1,2,26328,4238.808
69,36,Yes,Travel_Rarely,318,Research & Development,9,Bachelor’s Degree,Medical,90,Very High,Male,79,Medium,Entry-level,Research Scientist,High,Married,3388,21777,0,Yes,17,Satisfactory,Low,1,2,0,Medium,1,0,0,0,40656,8009.232
70,59,No,Travel_Frequently,1225,Sales,1,High School,Life Sciences,91,Low,Female,57,Medium,Intermediate,Sales Executive,High,Single,5473,24668,7,No,11,Satisfactory,Very High,0,20,2,Medium,4,3,1,3,65676,13397.903999999999
71,29,No,Travel_Rarely,1328,Research & Development,2,Bachelor’s Degree,Life Sciences,94,High,Male,76,High,Entry-level,Research Scientist,Medium,Married,2703,4956,0,No,23,Exceptional,Very High,1,6,3,High,5,4,0,4,32436,6389.892
72,31,No,Travel_Rarely,1082,Research & Development,1,Master’s Degree,Medical,95,High,Male,87,High,Entry-level,Research Scientist,Medium,Single,2501,18775,1,No,17,Satisfactory,Medium,0,1,4,High,1,1,1,0,30012,5912.3640000000005
73,32,No,Travel_Rarely,548,Research & Development,1,Bachelor’s Degree,Life Sciences,96,Medium,Male,66,High,Intermediate,Research Scientist,Medium,Married,6220,7346,1,No,17,Satisfactory,Medium,2,10,3,High,10,4,0,9,74640,15226.56
74,36,No,Travel_Rarely,132,Research & Development,6,Bachelor’s Degree,Life Sciences,97,Medium,Female,55,Very High,Entry-level,Laboratory Technician,Very High,Married,3038,22002,3,No,12,Satisfactory,Medium,0,5,3,High,1,0,0,0,36456,7181.832
75,31,No,Travel_Rarely,746,Research & Development,8,Master’s Degree,Life Sciences,98,High,Female,61,High,Intermediate,Manufacturing Director,Very High,Single,4424,20682,1,No,23,Exceptional,Very High,0,11,2,High,11,7,1,8,53088,10829.952
76,35,No,Travel_Rarely,776,Sales,1,Master’s Degree,Marketing,100,High,Male,32,Medium,Intermediate,Sales Executive,Low,Single,4312,23016,0,No,14,Satisfactory,Medium,0,16,2,High,15,13,2,8,51744,10555.776
77,45,No,Travel_Rarely,193,Research & Development,6,Master’s Degree,Other,101,Very High,Male,52,High,Supervisory,Research Director,Low,Married,13245,15067,4,Yes,14,Satisfactory,Medium,0,17,3,Very High,0,0,0,0,158940,33377.4
78,37,No,Travel_Rarely,397,Research & Development,7,Master’s Degree,Medical,102,Low,Male,30,High,Supervisory,Research Director,High,Single,13664,25258,4,No,13,Satisfactory,Low,0,16,3,Very High,5,2,0,2,163968,34433.28
79,46,No,Travel_Rarely,945,Human Resources,5,Associate Degree,Medical,103,Medium,Male,80,High,Intermediate,Human Resources,Medium,Divorced,5021,10425,8,Yes,22,Exceptional,Very High,1,16,2,High,4,2,0,2,60252,12291.408
80,30,No,Travel_Rarely,852,Research & Development,1,High School,Life Sciences,104,Very High,Male,55,Medium,Intermediate,Laboratory Technician,Very High,Married,5126,15998,1,Yes,12,Satisfactory,High,2,10,1,Medium,10,8,3,0,61512,12548.447999999999
81,35,No,Travel_Rarely,1214,Research & Development,1,Bachelor’s Degree,Medical,105,Medium,Male,30,Medium,Entry-level,Research Scientist,High,Single,2859,26278,1,No,18,Satisfactory,Low,0,6,3,High,6,4,0,4,34308,6758.676
82,55,No,Travel_Rarely,111,Sales,1,Associate Degree,Life Sciences,106,Low,Male,70,High,Supervisory,Sales Executive,Very High,Married,10239,18092,3,No,14,Satisfactory,Very High,1,24,4,High,1,0,1,0,122868,25802.28
83,38,No,Non-Travel,573,Research & Development,6,Bachelor’s Degree,Medical,107,Medium,Female,79,Low,Intermediate,Research Scientist,Very High,Divorced,5329,15717,7,Yes,12,Satisfactory,Very High,3,17,3,High,13,11,1,9,63948,13045.392
84,34,No,Travel_Rarely,1153,Research & Development,1,Associate Degree,Medical,110,Low,Male,94,High,Intermediate,Manufacturing Director,Medium,Married,4325,17736,1,No,15,Satisfactory,High,0,5,2,High,5,2,1,3,51900,10587.599999999999
85,56,No,Travel_Rarely,1400,Research & Development,7,Bachelor’s Degree,Life Sciences,112,Very High,Male,49,Low,Supervisory,Manufacturing Director,Very High,Single,7260,21698,4,No,11,Satisfactory,Low,0,37,3,Medium,6,4,0,2,87120,18295.2
86,23,No,Travel_Rarely,541,Sales,2,High School,Technical Degree,113,High,Male,62,High,Entry-level,Sales Representative,Low,Divorced,2322,9518,3,No,13,Satisfactory,High,1,3,3,High,0,0,0,0,27864,4486.104
87,51,No,Travel_Rarely,432,Research & Development,9,Master’s Degree,Life Sciences,116,Very High,Male,96,High,Entry-level,Laboratory Technician,Very High,Married,2075,18725,3,No,23,Exceptional,Medium,2,10,4,High,4,2,0,3,24900,4008.9
88,30,No,Travel_Rarely,288,Research & Development,2,Bachelor’s Degree,Life Sciences,117,High,Male,99,Medium,Intermediate,Healthcare Representative,Very High,Married,4152,15830,1,No,19,Satisfactory,Low,3,11,3,High,11,10,10,8,49824,9815.328
89,46,Yes,Travel_Rarely,669,Sales,9,Associate Degree,Medical,118,High,Male,64,Medium,Supervisory,Sales Executive,Very High,Single,9619,13596,1,No,16,Satisfactory,Very High,0,9,3,High,9,8,4,7,115428,24239.879999999997
90,40,No,Travel_Frequently,530,Research & Development,1,Master’s Degree,Life Sciences,119,High,Male,78,Medium,Managerial,Healthcare Representative,Medium,Married,13503,14115,1,No,22,Exceptional,Very High,1,22,3,Medium,22,3,11,11,162036,34027.56
91,51,No,Travel_Rarely,632,Sales,21,Master’s Degree,Marketing,120,High,Male,71,High,Intermediate,Sales Executive,Very High,Single,5441,8423,0,Yes,22,Exceptional,Very High,0,11,2,Low,10,7,1,0,65292,13319.568
92,30,No,Travel_Rarely,1334,Sales,4,Associate Degree,Medical,121,High,Female,63,Medium,Intermediate,Sales Executive,Medium,Divorced,5209,19760,1,Yes,12,Satisfactory,Medium,3,11,4,Medium,11,8,2,7,62508,12751.632
93,46,No,Travel_Frequently,638,Research & Development,1,Bachelor’s Degree,Medical,124,High,Male,40,Medium,Supervisory,Healthcare Representative,Low,Married,10673,3142,2,Yes,13,Satisfactory,High,1,21,5,Medium,10,9,9,5,128076,26895.96
94,32,No,Travel_Rarely,1093,Sales,6,Master’s Degree,Medical,125,Medium,Male,87,High,Intermediate,Sales Executive,High,Single,5010,24301,1,No,16,Satisfactory,Low,0,12,0,High,11,8,5,7,60120,12264.48
95,54,No,Travel_Rarely,1217,Research & Development,2,Master’s Degree,Technical Degree,126,Low,Female,60,High,Supervisory,Research Director,High,Married,13549,24001,9,No,12,Satisfactory,Low,1,16,5,Low,4,3,0,3,162588,34143.479999999996
96,24,No,Travel_Rarely,1353,Sales,3,Associate Degree,Other,128,Low,Female,33,High,Intermediate,Sales Executive,High,Married,4999,17519,0,No,21,Exceptional,Low,1,4,2,Medium,3,2,0,2,59988,12237.552
97,28,No,Non-Travel,120,Sales,4,Bachelor’s Degree,Medical,129,Medium,Male,43,High,Intermediate,Sales Executive,High,Married,4221,8863,1,No,15,Satisfactory,Medium,0,5,3,Very High,5,4,0,4,50652,10333.008
98,58,No,Travel_Rarely,682,Sales,10,Master’s Degree,Medical,131,Very High,Male,37,High,Managerial,Sales Executive,High,Single,13872,24409,0,No,13,Satisfactory,High,0,38,1,Medium,37,10,1,8,166464,34957.44
99,44,No,Non-Travel,489,Research & Development,23,Bachelor’s Degree,Medical,132,Medium,Male,67,High,Intermediate,Laboratory Technician,Medium,Married,2042,25043,4,No,12,Satisfactory,High,1,17,3,Very High,3,2,1,2,24504,3945.1440000000002
100,37,Yes,Travel_Rarely,807,Human Resources,6,Master’s Degree,Human Resources,133,High,Male,63,High,Entry-level,Human Resources,Low,Divorced,2073,23648,4,Yes,22,Exceptional,Very High,0,7,3,High,3,2,0,2,24876,4005.036
101,32,No,Travel_Rarely,827,Research & Development,1,High School,Life Sciences,134,Very High,Male,71,High,Entry-level,Research Scientist,Low,Single,2956,15178,1,No,13,Satisfactory,Very High,0,1,2,High,1,0,0,0,35472,6987.984
102,20,Yes,Travel_Frequently,871,Research & Development,6,Bachelor’s Degree,Life Sciences,137,Very High,Female,66,Medium,Entry-level,Laboratory Technician,Very High,Single,2926,19783,1,Yes,18,Satisfactory,Medium,0,1,5,High,1,0,1,0,35112,6917.064
103,34,No,Travel_Rarely,665,Research & Development,6,Master’s Degree,Other,138,Low,Female,41,High,Intermediate,Research Scientist,High,Single,4809,12482,1,No,14,Satisfactory,High,0,16,3,High,16,13,2,10,57708,11772.431999999999
104,37,No,Non-Travel,1040,Research & Development,2,Associate Degree,Life Sciences,139,High,Male,100,Medium,Intermediate,Healthcare Representative,Very High,Divorced,5163,15850,5,No,14,Satisfactory,Very High,1,17,2,Very High,1,0,0,0,61956,12639.024
105,59,No,Non-Travel,1420,Human Resources,2,Master’s Degree,Human Resources,140,High,Female,32,Medium,Executive,Manager,Very High,Married,18844,21922,9,No,21,Exceptional,Very High,1,30,3,High,3,2,2,2,226128,47486.88
106,50,No,Travel_Frequently,1115,Research & Development,1,Bachelor’s Degree,Life Sciences,141,Low,Female,73,High,Executive,Research Director,Medium,Married,18172,9755,3,Yes,19,Satisfactory,Low,0,28,1,Medium,8,3,0,7,218064,45793.439999999995
107,25,Yes,Travel_Rarely,240,Sales,5,Bachelor’s Degree,Marketing,142,High,Male,46,Medium,Intermediate,Sales Executive,High,Single,5744,26959,1,Yes,11,Satisfactory,Very High,0,6,1,High,6,4,0,3,68928,14061.312
108,25,No,Travel_Rarely,1280,Research & Development,7,High School,Medical,143,Very High,Male,64,Medium,Entry-level,Research Scientist,Very High,Married,2889,26897,1,No,11,Satisfactory,High,2,2,2,High,2,2,2,1,34668,6829.5960000000005
109,22,No,Travel_Rarely,534,Research & Development,15,Bachelor’s Degree,Medical,144,Medium,Female,59,High,Entry-level,Laboratory Technician,Very High,Single,2871,23785,1,No,15,Satisfactory,High,0,1,5,High,0,0,0,0,34452,6787.044
110,51,No,Travel_Frequently,1456,Research & Development,1,Master’s Degree,Medical,145,Low,Female,30,Medium,Supervisory,Healthcare Representative,Low,Single,7484,25796,3,No,20,Exceptional,High,0,23,1,Medium,13,12,12,8,89808,18859.68
